TOP[Pa]	TIT[K]	Efficiency[-]	Net_sp_work[J/kgCO2]	TOT[K]
100000.000000	1670.000000	0.559900	794541.995000	812.973560	
100000.000000	1675.000000	0.561100	798377.362000	815.301154	
100000.000000	1680.000000	0.562300	802212.689000	817.626347	
100000.000000	1685.000000	0.563400	806047.974000	819.949141	
100000.000000	1690.000000	0.564600	809883.213000	822.269536	
100000.000000	1695.000000	0.565700	813718.404000	824.587531	
100000.000000	1700.000000	0.566900	817553.545000	826.903128	
100000.000000	1705.000000	0.568000	821388.633000	829.216328	
100000.000000	1710.000000	0.569100	825223.666000	831.527129	
100000.000000	1715.000000	0.570200	829059.015000	833.835482	
100000.000000	1720.000000	0.571400	832892.455000	836.141544	
100000.000000	1725.000000	0.572500	836727.258000	838.445155	
100000.000000	1730.000000	0.573600	840561.992000	840.746375	
100000.000000	1735.000000	0.574700	844396.658000	843.045196	
100000.000000	1740.000000	0.575700	848231.250000	845.341623	
100000.000000	1745.000000	0.576800	852065.766000	847.635656	
100000.000000	1750.000000	0.577900	855900.202000	849.927296	
100000.000000	1755.000000	0.579000	859734.555000	852.216542	
100000.000000	1760.000000	0.580100	863568.823000	854.503395	
100000.000000	1765.000000	0.581100	867403.001000	856.787857	
100000.000000	1770.000000	0.582200	871237.087000	859.069927	
100000.000000	1775.000000	0.583200	875071.077000	861.349605	
100000.000000	1780.000000	0.584200	878916.586000	863.626211	
100000.000000	1785.000000	0.585300	882753.127000	865.900999	
100000.000000	1790.000000	0.586300	886589.580000	868.173401	
100000.000000	1795.000000	0.587400	890399.667000	870.444990	
100000.000000	1800.000000	0.588000	894514.131000	872.695829	
100000.000000	1805.000000	0.588400	898702.349000	874.940021	
100000.000000	1810.000000	0.588900	902895.227000	877.181803	
100000.000000	1815.000000	0.589400	907092.790000	879.421178	
100000.000000	1820.000000	0.589800	911295.064000	881.658149	
100000.000000	1825.000000	0.590200	915502.073000	883.892718	
100000.000000	1830.000000	0.590700	919713.844000	886.124891	
100000.000000	1835.000000	0.591100	923930.403000	888.354670	
100000.000000	1840.000000	0.591500	928151.774000	890.582059	
100000.000000	1845.000000	0.592000	932377.983000	892.807061	
100000.000000	1850.000000	0.592400	936609.057000	895.029679	
100000.000000	1855.000000	0.592800	940845.021000	897.249917	
100000.000000	1860.000000	0.593200	945085.901000	899.467778	
100000.000000	1865.000000	0.593600	949331.723000	901.683266	
100000.000000	1870.000000	0.594000	953582.515000	903.896383	
100000.000000	1875.000000	0.594300	957838.301000	906.107135	
100000.000000	1880.000000	0.594700	962099.108000	908.315522	
100000.000000	1885.000000	0.595100	966364.963000	910.521551	
100000.000000	1890.000000	0.595500	970635.892000	912.725222	
100000.000000	1895.000000	0.595800	974911.922000	914.926541	
100000.000000	1900.000000	0.596200	979193.080000	917.125510	
100000.000000	1905.000000	0.596500	983479.393000	919.322133	
100000.000000	1910.000000	0.596900	987770.888000	921.516413	
100000.000000	1915.000000	0.597200	992067.591000	923.708354	
100000.000000	1920.000000	0.597500	996369.530000	925.897959	
100000.000000	1925.000000	0.597900	1000676.732000	928.085231	
100000.000000	1930.000000	0.598200	1004989.224000	930.270175	
100000.000000	1935.000000	0.598500	1009305.287000	932.452828	
100000.000000	1940.000000	0.598800	1013628.392000	934.633123	
100000.000000	1945.000000	0.599100	1017956.872000	936.811042	
100000.000000	1950.000000	0.599500	1022290.748000	938.986701	
100000.000000	1955.000000	0.599800	1026630.051000	941.160048	
100000.000000	1960.000000	0.600000	1030982.442000	943.333726	
100000.000000	1965.000000	0.600300	1035332.940000	945.502549	
100000.000000	1970.000000	0.600600	1039688.959000	947.669072	
100000.000000	1975.000000	0.600900	1044051.700000	949.832643	
100000.000000	1980.000000	0.601200	1048418.844000	951.994578	
100000.000000	1985.000000	0.601400	1052788.685000	954.155842	
